,name,capital,population
0,Afghanistan,Kabul,40218234
1,Åland Islands,Mariehamn,28875
2,Albania,Tirana,2837743
3,Algeria,Algiers,44700000
4,American Samoa,Pago Pago,55197
5,Andorra,Andorra la Vella,77265
6,Angola,Luanda,32866268
7,Anguilla,The Valley,13452
8,Antarctica,,1000
9,Antigua and Barbuda,Saint John's,97928
10,Argentina,Buenos Aires,45376763
11,Armenia,Yerevan,2963234
12,Aruba,Oranjestad,106766
13,Australia,Canberra,25687041
14,Austria,Vienna,8917205
15,Azerbaijan,Baku,10110116
16,Bahamas,Nassau,393248
17,Bahrain,Manama,1701583
18,Bangladesh,Dhaka,164689383
19,Barbados,Bridgetown,287371
20,Belarus,Minsk,9398861
21,Belgium,Brussels,11555997
22,Belize,Belmopan,397621
23,Benin,Porto-Novo,12123198
24,Bermuda,Hamilton,63903
25,Bhutan,Thimphu,771612
26,Bolivia (Plurinational State of),Sucre,11673029
27,"Bonaire, Sint Eustatius and Saba",Kralendijk,17408
28,Bosnia and Herzegovina,Sarajevo,3280815
29,Botswana,Gaborone,2351625
30,Bouvet Island,,0
31,Brazil,Brasília,212559409
32,British Indian Ocean Territory,Diego Garcia,3000
33,United States Minor Outlying Islands,,300
34,Virgin Islands (British),Road Town,30237
35,Virgin Islands (U.S.),Charlotte Amalie,106290
36,Brunei Darussalam,Bandar Seri Begawan,437483
37,Bulgaria,Sofia,6927288
38,Burkina Faso,Ouagadougou,20903278
39,Burundi,Gitega,11890781
40,Cambodia,Phnom Penh,16718971
41,Cameroon,Yaoundé,26545864
42,Canada,Ottawa,38005238
43,Cabo Verde,Praia,555988
44,Cayman Islands,George Town,65720
45,Central African Republic,Bangui,4829764
46,Chad,N'Djamena,16425859
47,Chile,Santiago,19116209
48,China,Beijing,1402112000
49,Christmas Island,Flying Fish Cove,2072
50,Cocos (Keeling) Islands,West Island,550
51,Colombia,Bogotá,50882884
52,Comoros,Moroni,869595
53,Congo,Brazzaville,5518092
54,Congo (Democratic Republic of the),Kinshasa,89561404
55,Cook Islands,Avarua,18100
56,Costa Rica,San José,5094114
57,Croatia,Zagreb,4047200
58,Cuba,Havana,11326616
59,Curaçao,Willemstad,155014
60,Cyprus,Nicosia,1207361
61,Czech Republic,Prague,10698896
62,Denmark,Copenhagen,5831404
63,Djibouti,Djibouti,988002
64,Dominica,Roseau,71991
65,Dominican Republic,Santo Domingo,10847904
66,Ecuador,Quito,17643060
67,Egypt,Cairo,102334403
68,El Salvador,San Salvador,6486201
69,Equatorial Guinea,Malabo,1402985
70,Eritrea,Asmara,5352000
71,Estonia,Tallinn,1331057
72,Ethiopia,Addis Ababa,114963583
73,Falkland Islands (Malvinas),Stanley,2563
74,Faroe Islands,Tórshavn,48865
75,Fiji,Suva,896444
76,Finland,Helsinki,5530719
77,France,Paris,67391582
78,French Guiana,Cayenne,254541
79,French Polynesia,Papeetē,280904
80,French Southern Territories,Port-aux-Français,140
81,Gabon,Libreville,2225728
82,Gambia,Banjul,2416664
83,Georgia,Tbilisi,3714000
84,Germany,Berlin,83240525
85,Ghana,Accra,31072945
86,Gibraltar,Gibraltar,33691
87,Greece,Athens,10715549
88,Greenland,Nuuk,56367
89,Grenada,St. George's,112519
90,Guadeloupe,Basse-Terre,400132
91,Guam,Hagåtña,168783
92,Guatemala,Guatemala City,16858333
93,Guernsey,St. Peter Port,62999
94,Guinea,Conakry,13132792
95,Guinea-Bissau,Bissau,1967998
96,Guyana,Georgetown,786559
97,Haiti,Port-au-Prince,11402533
98,Heard Island and McDonald Islands,,0
99,Vatican City,Vatican City,451
100,Honduras,Tegucigalpa,9904608
101,Hungary,Budapest,9749763
102,Hong Kong,City of Victoria,7481800
103,Iceland,Reykjavík,366425
104,India,New Delhi,1380004385
105,Indonesia,Jakarta,273523621
106,Ivory Coast,Yamoussoukro,26378275
107,Iran (Islamic Republic of),Tehran,83992953
108,Iraq,Baghdad,40222503
109,Ireland,Dublin,4994724
110,Isle of Man,Douglas,85032
111,Israel,Jerusalem,9216900
112,Italy,Rome,59554023
113,Jamaica,Kingston,2961161
114,Japan,Tokyo,125836021
115,Jersey,Saint Helier,100800
116,Jordan,Amman,10203140
117,Kazakhstan,Nur-Sultan,18754440
118,Kenya,Nairobi,53771300
119,Kiribati,South Tarawa,119446
120,Kuwait,Kuwait City,4270563
121,Kyrgyzstan,Bishkek,6591600
122,Lao People's Democratic Republic,Vientiane,7275556
123,Latvia,Riga,1901548
124,Lebanon,Beirut,6825442
125,Lesotho,Maseru,2142252
126,Liberia,Monrovia,5057677
127,Libya,Tripoli,6871287
128,Liechtenstein,Vaduz,38137
129,Lithuania,Vilnius,2794700
